Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
CASAS RODANTES LEONES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;1;1;;;1;1;;2;1;2;1
FERRARI;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;2;;;;;;;2;1;;3;;2;;;;;;1
TRAIMAX;1;;;;;2;2;;;;1;2;;;;;;;;;;2;;;;;;3;;;;;;;1;;;;;;;;;;;;;;
ZOOMLION;1;;;1;1;1;;;;;;;;;;;;;1;2;;;1;;1;;;1;;1;;;1;;1;1;;;;;;;;;;;;;
AL TRAILERS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;3;3;1;3;
COBRA MOTORSPORT ARGENTINA;;;;;;;;;;;;;;;;;;;;;2;3;;3;1;;2;;;;;;;;;;;;;;;;1;;;;1;;
FONIX;;;;;;;;;;;;;;;;;;;;;1;;1;4;1;;;;;;;;;;;;;;1;;;2;1;;;2;;;
HIDRO-GRUBERT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;1;;;;2;;;1;1;1;;1;;1;1;
MERCEDES BENZ/IRIZAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;8;3;;
BIANCHI;;;2;;;;;2;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;2;;;1;1
MILEI;;1;;;1;;;;1;;;;;;1;1;;1;;;;;;;;;;;2;;2;;;;;1;1;;;;;;;;;;;;
YUTONG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;10;;;
GOLDHOFER;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;4;;;;;;;;;;;;;;;;;3;
M Y M TRAILERS;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;3;;;;;;;1;1;;1;1;1;1;
JAYCOR RV CRUISER;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;;;;2;1;1;;;;;;;1;;1;;;
M DE 9;;;;;;;;;;;3;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
RUTERA;;;3;1;1;1;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
CM;;;;;;;;;;;;;4;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FERTEC;;2;;;;1;;2;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;;1;;;;;;;;;;;;
GAC MOTOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;7;
SKYWELL;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;2;1;;1;;;;;2;;;;;;;;;;;1;
NICCOLO;;;1;1;;;;;;;3;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
SCORZA;;1;;1;;;1;;;;;;;2;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
SUPROTRAILER;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;3;1;2;;;;
TECNUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;1;;;;;1;1;2;
VOLT MOTORS;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;1;;1;1;;1;;1;;;;;1;;
GALLO;2;;;;;1;;1;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRUAS SAN BLAS;;;;;;;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
MAN;;;;;1;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;
MERTZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;2;;;1;;1;
MILES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;3;;
SCHELL;;;;1;;;;;;;;;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;
ACOPLADOS CONESE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;1;;;;;;;;;;;
ARG METAL;;;;;;;1;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
COACHMEN;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
COQUITO;1;;1;1;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INGENMET;;;;;1;;1;;;;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
METAL LINIERS;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;;;;;;;;;;;;1;1;;;
NUCTECH;;;;;;;;;;;;;;;;;;;;;;1;;3;;;;1;;;;;;;;;;;;;;;;;;;;;
TAURUS;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;1;
TMT TRANSMONTAND S.A.;;;;;;;;1;;;;;1;;;;;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;
GOLONDRINA;;;;;;;;;;;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAMBORGHINI;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;
LGMG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;1;
LOTUS;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;1;;;;;1;;;;;
SOUEAST;1;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;2;;
XEV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;
AGRALE/MARCOPOLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;
DODGE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;
DRAGON PRODUCTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;
MATERFER;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PUTZMEISTER;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;
RAUDA;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
REMOCAR;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;
REMOLQUES PAMPA;;;;;;;;;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZHONG TONG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;
ARCFOX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;
BISCAYNE ROADSTER;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CADILLAC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
CIBER;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLASICOS Y ESPECIALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;
DON NATALIO S.R.L.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;
DULEVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
FAYMONVILLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
GENLYON;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
GROVE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
IRON;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JAGUAR;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KENWORTH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;
LIEBHERR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;
LIFAN;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
MACK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
MARGUI;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
MAXUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;
MCLAREN;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
METALURGICA HERRERA;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RHENOSTRONG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
ROLLIGON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
SCANIA/BUSSCAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
STREUMASTER;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
TESLA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
VOLVO/IRIZAR;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACEPLA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
AL SHIRAWI EQUIPMENT COMPANY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
AMMAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
ARTESANAL;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEIBEN TRUCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
BENTLEY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
CATEC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
CHRYSLER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
DON TOTO;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GHIGLIONE ROUTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
GMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
GRAHAM PAIGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
HOLDEN;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HONGYUAN;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HUALIANG TIANHONG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
HUMMER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
JMEV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
KINETIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
LARUE;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIU GONG;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOVOL;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LUIS IGLESIAS;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MACHILE;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERFASIL ETERNO;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PONTIAC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
RBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
RESEMIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
SCANIA/IRIZAR;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEAT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
T.M. MAZZEO;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIFFIN MOTORHOMES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
TITAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
TURBO´S HOET;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UD TRUCKS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
VORTEQ;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WHIPPET;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
WILLYS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
