Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
MALDONADO;10;8;15;13;23;11;19;23;8;13;4;10;14;17;12;15;17;6;16;8;13;8;6;7;1;4;4;4;6;1;9;4;9;14;5;2;14;7;13;17;12;15;11;8;18;10;8;3;2
SIN MARCA;;;;;;;;;;;;;;;;1;;2;;1;;;;2;;6;2;4;3;8;6;10;22;26;9;24;34;30;24;21;34;17;33;36;21;32;28;43;4
F.H.;7;13;12;15;9;15;8;15;15;10;15;20;7;3;12;10;12;11;17;11;4;9;5;1;5;9;13;7;10;6;9;10;11;14;9;5;7;14;9;11;12;9;10;16;12;10;4;3;1
MONTENEGRO;12;9;7;14;8;10;17;18;13;7;14;9;8;4;15;3;8;7;7;6;6;7;2;6;4;8;9;12;6;3;11;16;7;9;14;4;10;17;11;11;15;18;12;8;6;12;11;7;
SUZUKI;11;7;8;5;3;8;11;1;5;3;2;2;2;2;4;2;3;3;2;2;;2;7;3;;2;1;2;6;3;;10;11;9;4;11;5;34;18;9;12;33;32;15;32;25;29;22;
ISUZU;2;7;4;1;3;6;12;6;13;13;11;1;2;2;3;10;8;3;5;6;5;1;3;6;6;7;4;2;6;6;5;13;6;8;14;9;18;8;14;10;9;16;10;13;11;11;15;13;
H.C.MANCINI;12;9;8;8;13;4;5;7;15;5;6;5;17;7;8;9;6;13;23;10;14;7;6;2;2;2;2;3;8;1;8;8;9;11;5;2;5;4;5;6;8;4;7;5;11;8;8;8;
CHANGAN;9;10;12;9;12;13;10;10;10;13;12;8;16;15;17;12;9;2;8;7;3;11;16;20;5;5;3;3;6;1;3;4;4;3;3;8;3;2;5;;1;3;2;;;;1;17;9
GREAT WALL;4;1;2;3;;4;2;5;5;4;2;3;8;5;11;10;13;7;7;12;7;13;12;15;7;1;1;1;;6;2;10;13;14;14;8;3;9;9;6;8;8;12;9;19;15;6;13;3
ALFA ROMEO;9;3;6;5;6;7;2;2;5;4;14;1;7;4;13;5;7;4;8;6;2;3;3;8;3;8;7;3;4;4;9;6;9;16;8;;18;18;14;14;15;14;6;11;5;5;4;4;
EL GRILLO;3;9;15;9;15;5;17;11;8;6;2;3;;4;3;3;15;7;4;7;7;4;18;3;;;5;1;6;4;9;13;7;15;8;6;3;5;3;5;16;7;6;10;10;8;4;1;
RUBIOLO;4;3;8;12;14;8;2;8;8;3;7;5;5;6;7;6;8;8;10;10;13;5;12;2;5;6;4;4;10;6;7;4;5;13;4;6;5;9;1;6;2;3;6;9;8;5;5;2;
DM TRAILERS;;;;;;1;6;8;7;15;8;11;9;11;4;4;4;;3;6;4;8;16;17;14;10;3;2;4;;10;6;6;7;3;8;13;9;2;2;6;4;7;3;5;9;13;5;
NAVARRO HNOS;4;2;3;19;5;21;2;1;6;4;9;7;4;;18;6;1;12;8;2;1;16;52;9;6;1;3;1;1;1;8;1;1;;4;3;2;;1;3;;3;4;;3;11;6;7;1
MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;98;76;10
CARROCERIAS APEZ;3;4;7;4;3;4;7;6;7;2;3;2;1;5;6;3;4;5;4;6;4;2;2;10;5;1;6;4;6;2;3;7;4;10;6;7;7;7;9;8;16;4;10;7;16;4;7;2;
AIELLO;5;12;9;13;18;18;15;13;7;5;16;2;2;2;2;;8;6;9;8;1;3;;1;;3;4;;1;1;;4;13;6;3;6;5;9;3;1;10;1;3;7;;1;2;1;
METALURGICA BELGRANO;6;11;4;5;2;5;5;4;9;4;4;4;8;3;4;4;1;9;4;7;5;6;5;2;7;3;2;5;8;14;15;2;7;7;2;;3;8;2;3;6;2;7;10;4;7;4;3;
ASTIVIA;2;6;13;8;9;7;6;5;9;6;3;4;4;3;10;3;8;5;2;5;7;5;7;5;5;4;6;4;5;1;5;3;4;8;1;1;2;7;2;1;4;6;4;10;5;7;1;2;
AHT ALZUARTE;4;3;6;3;4;1;4;7;13;9;5;7;8;8;7;8;5;4;9;8;15;4;4;2;4;4;5;4;4;4;5;2;;4;3;1;3;2;;7;3;1;2;2;2;8;;;
S STOESSEL;4;8;1;8;8;1;9;3;10;3;6;3;2;2;4;9;;3;1;3;7;4;5;;;;;;;1;6;7;4;3;;5;2;4;6;4;1;7;10;10;11;11;9;5;1
GRASSANI;4;;12;4;3;4;3;7;7;6;1;6;10;8;11;9;3;4;2;2;4;6;2;;8;2;3;4;2;2;5;3;3;2;3;4;3;3;3;7;7;3;2;5;9;4;3;2;
SAYI;2;3;;2;4;7;11;1;3;1;2;;2;2;11;4;1;;2;6;1;6;6;;2;3;7;8;14;1;6;1;2;5;7;3;4;7;9;4;10;8;;10;4;4;6;6;
AST-PRA;6;7;5;10;9;6;5;2;4;6;5;3;14;5;6;4;6;7;2;4;12;2;1;;3;1;;2;3;3;2;4;2;4;4;3;7;2;3;1;7;2;2;2;7;5;;5;
GONELLA;3;14;3;6;5;6;8;2;2;4;3;5;3;3;3;4;1;9;3;4;6;5;5;;5;8;3;2;1;3;1;6;10;4;;1;5;1;;5;8;6;8;;5;3;2;7;
REMOLQUES RECONQUISTA;8;4;8;2;11;4;6;5;6;8;1;5;6;1;6;2;4;6;2;2;1;1;3;2;;1;4;2;5;2;6;5;7;3;3;2;3;1;9;3;4;4;3;6;3;8;1;3;
HIZA TRAILERS;;;;;;;;;;;;4;12;7;7;2;3;4;;2;4;5;5;6;6;5;1;1;3;3;1;10;5;7;10;2;12;2;4;7;10;6;3;3;7;7;9;6;
NAVATUC NT;4;9;4;25;4;10;2;2;1;2;;2;;1;1;;;23;6;8;3;1;;2;;1;2;1;;7;12;2;7;2;;1;;15;5;2;4;5;1;6;1;;3;;
IDEROL;;;;;;;;;;;;;;;;;1;6;5;5;3;1;6;1;4;2;1;1;6;7;13;12;21;8;2;3;7;5;8;7;2;3;9;11;10;4;7;3;2
JMC;2;2;4;2;4;1;1;;;;;2;2;2;;;1;1;;2;;1;2;1;;3;1;1;;;1;;7;8;7;5;10;6;7;8;10;7;5;12;14;20;6;17;1
MM-MARTIN;4;15;9;9;6;9;5;12;3;5;1;3;1;2;3;7;3;;6;2;1;1;;;;1;3;5;3;;;9;2;5;2;1;1;4;4;4;1;5;4;6;3;3;5;2;
KAMA;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;3;7;4;6;6;4;5;8;15;18;13;9;5;2;4;5;24;11;13;1
