Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
KIA;3;1;;2;;1;1;1;2;;;1;;;1;;1;;1;1;;1;;2;1;1;1;2;2;3;;2;;5;3;2;4;4;2;8;10;2;5;7;6;3;1;4;
HERMANN;1;;5;1;5;3;5;2;2;6;1;;1;1;3;5;1;5;3;4;2;1;2;;;2;;;1;;3;2;;3;2;2;2;;;4;;;;3;;2;2;1;
CHERY;1;;3;2;3;3;1;4;;2;;;1;;1;;;1;1;;;1;;;;;1;3;5;2;;;1;2;2;;3;4;2;1;;1;;4;;9;10;9;4
CORMETAL;;1;3;6;4;;3;5;3;;;2;;2;1;2;3;;2;;;3;3;;3;6;1;;3;;1;;;3;2;;9;;3;;;;1;1;3;;;;
HINO;;;1;1;;;1;;2;;;;;;3;7;5;6;9;7;2;3;3;2;1;1;;;1;2;4;1;4;;1;1;;;;;;;2;;1;1;;;
BONANO;;2;1;2;1;3;1;3;3;;1;;;4;;;;1;1;1;;2;4;;1;2;;2;1;;2;2;2;4;1;1;2;1;1;3;1;2;1;1;1;;1;;
OMBU;;1;1;1;;;;1;3;1;;3;;2;;;1;;1;;1;1;4;2;4;2;3;2;;;1;1;1;;1;;1;1;1;;8;;1;1;1;4;;;
FERBUS KAISEN;;1;2;3;3;1;1;2;2;;1;1;1;2;;2;1;1;3;1;1;;1;1;;1;;1;;;;1;2;1;;3;;;;2;2;1;1;2;;;3;;
NIÑO JESUS DE PRAGA;2;1;;1;;;1;2;1;1;1;1;;1;;;1;3;;;3;1;;;1;6;;2;2;;;;2;1;2;3;;2;;2;;3;;1;1;;1;;
MITSUBISHI;;;1;1;;;;1;;;;;;;2;;1;;;2;1;;;;;1;;;;;;;1;2;;1;1;1;1;1;1;1;7;6;5;3;1;5;
CHANGAN;;1;2;;;3;;2;2;2;1;1;;1;3;1;1;;3;;;2;1;;1;;;;2;;1;1;;;;;1;;1;;1;;;;;;1;2;
DANES;1;1;1;;2;1;3;;3;4;;;1;;;;;1;3;2;;;;;;;;1;1;;3;;;;;1;;;;;3;;;2;;;;3;
SCANIA/MARCOPOLO;7;;9;1;;;;7;4;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;1;;;;2;;;;;;;3;
BYD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;18;9;3
DFSK;1;1;;;2;1;2;;;;;1;;;;;;;;;;;;;;;;;;;1;1;;;;1;4;;1;2;;2;2;5;4;;3;2;
MACTRAIL;;1;2;;;1;1;2;1;;2;3;1;1;4;;;;1;;1;;;4;1;1;;1;1;1;;;1;1;1;1;;;;;;;;;1;1;;;
ZANELLA;;6;;1;;1;;3;;;;;;;;;1;;;1;;1;;;;;;1;1;;1;1;6;3;;1;1;;1;;1;1;;1;;1;;1;
