Modelo;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
BULL TRAILER SR 46.7-2114;;;;;;;;;;;;;;;;;;7;6;3;1;4;2;2;3;3;;2;5;2;;8;3;3;2;1;4;;;;2;;1;;;;;;
EL GRILLO S2TA TA;1;4;3;2;4;3;4;3;3;2;;1;;1;;;3;2;;1;4;1;8;1;;;2;1;3;2;1;1;;1;;;;;;;;;;;1;;;;
FERBUS KAISEN KAISEN 520 2E;1;8;2;3;2;;5;3;3;3;4;3;;;;;;1;1;;1;1;;1;1;;;2;;;;1;1;2;1;;3;1;;;1;1;;1;1;1;2;2;
HERMANN GANADERO S.GP.2E.91;;;;;;;;;;;;;1;2;;2;;1;1;5;;;2;;1;2;1;2;2;1;4;3;5;4;2;1;3;1;1;2;1;1;2;3;1;2;1;3;
OMBU SPA3E1420;1;;3;2;3;;;3;;;2;;2;;;4;;;;3;3;;;6;;;;3;;2;;;;;;3;;;;;;;;6;4;4;9;;
RANDON SR.SL.03;3;3;3;1;2;1;;;7;7;1;2;2;3;3;2;1;;;5;2;;;1;;;;;1;;;;;;;1;;;;;;;;;3;7;2;;
MERCEDES BENZ AMG C43;4;;1;2;2;1;1;1;2;3;1;;;;1;;;;;;;;;;;;;;;;;2;3;5;4;1;9;3;4;;;1;7;;2;1;;1;
PATRONELLI SEMFT1E;;;4;2;15;15;;;;2;;1;;;8;;;1;1;1;;;2;2;;;;1;;;;;;;1;1;;;;;;;;3;;;1;1;
VOLKSWAGEN CONSTELLATION 32.360;1;;1;;2;8;;2;;;;;3;;;;;;;;;;;;;;;3;;1;;4;3;1;;2;;1;;5;6;11;6;;1;1;;;
AHT ALZUARTE S.FURGON CARGA GENERAL 2 E;2;1;3;2;1;;1;1;4;4;1;2;;;;;2;2;2;1;2;3;2;1;;1;2;;;2;2;1;;;1;;2;;;3;1;1;1;2;;5;;;
FERBUS KAISEN 450 1E;;;;;;;;;;;;;3;4;1;;;1;3;2;4;2;8;3;4;1;2;2;1;;5;2;1;2;;1;2;2;;;;;;;1;2;1;1;
FXV BATEA PORTA AUTOMOVILES 305 B;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;12;;18;;;;10;15;;;;
SOLA Y BRUSA VOLCADOR 3 EJES - 1+1+1;3;3;;2;5;;;3;;1;;1;;;2;;1;;2;;;2;;1;;1;1;2;;;2;;;1;;2;3;1;2;;2;3;1;2;2;3;;7;
VULCANO BITREN D - STSD-60;;2;3;5;3;4;4;1;2;2;1;3;;3;1;2;;3;;1;;;;;;1;;1;2;1;1;3;;;;1;1;;1;3;1;;1;;;;3;1;
HELVETICA SR 3E T BV;;1;4;2;2;2;2;2;1;1;;;;;4;3;2;;;1;2;1;1;;;;;1;;1;;3;;1;1;1;1;3;1;2;4;1;2;;5;;1;1;
MACTRAIL POLICIAL GRANDE;1;2;3;;;1;2;6;2;3;7;1;2;;3;2;2;;;1;3;1;1;;2;1;;;1;;1;1;;2;;1;2;;;1;;1;;;;2;2;;
MB TRAILERS PLAYO P;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;1;4;3;1;3;1;3;5;1;4;2;5;2;1;1;4;6;2;5;
SCANIA P380;;3;2;;2;4;2;1;;1;1;1;1;1;2;2;;;;;1;;3;;;;;;3;1;;;1;;;;1;2;;;1;7;7;3;;;4;;3
VULCANO BITREN T - STST-60;;2;3;5;3;3;4;1;2;2;1;3;;3;1;2;;3;;1;;;;;;1;;1;2;1;1;3;;;;1;1;;1;3;1;;1;;;;3;1;
RANDON SR.SD.1+1+1;;1;1;;1;1;1;1;1;2;2;1;6;;;14;8;;;;1;;1;;;;10;;;;;;;;1;2;1;1;;1;;;;;;;1;;
TOYOTA CROWN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;3;4;2;3;4;;;7;3;3;7;2;4;10;5;;
BONANO SEMIRREMOLQUE CURTAIN SIDER DE 2 EJES + 1 EJE DIR;1;2;2;2;5;1;4;1;1;;1;1;2;6;2;9;;3;2;5;1;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
HERMANN FURGON S.FP.3E.98;;;;5;4;9;;;2;;1;;;;;;1;25;;6;4;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
VULCANO BITREN T - CSST;1;1;2;;2;2;1;1;1;;;;4;4;3;2;2;1;;3;1;;;;2;;2;;1;;6;3;;;1;;2;1;2;2;1;;;;1;1;;2;
HERMANN GANADERO S.GP.2E.91 1+1;;;1;;2;3;;;;1;1;1;;;;;1;;1;3;2;;4;1;;3;1;3;3;2;;2;1;2;1;2;2;3;;2;2;;4;;1;;2;;
METALURGICA BELGRANO SEMIRREMOLQUE TANQUE 1+2 EJES FRENO TAMBOR;;6;3;1;;2;2;;2;;1;;3;;1;1;;;;3;1;3;1;;2;1;;3;1;6;4;2;2;2;;;1;2;1;;;;;;;;;;
MERCEDES BENZ ATEGO 2426;11;2;7;9;9;4;3;2;1;2;;;;;;;;;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MONTENEGRO SEMIRREMOLQUE PORTA CONTENEDOR 1+2 EJES;1;;1;1;;;;3;;1;2;;;;;;;;;;;;;2;2;1;;;;;;5;1;;;;5;2;5;1;4;5;2;1;3;3;3;2;
SOLA Y BRUSA CORT. LAT. 3 EJES- 1 DESPLAZ. SUSP. NEUM. DIREC.;;;;;;;;;;;;;;;;;;3;1;2;;1;9;;4;;3;2;1;;1;;;3;5;4;1;3;;1;3;1;2;;2;1;2;1;
SOLA Y BRUSA PLAYO 4 EJES;1;3;5;1;;3;3;2;1;;;;2;1;1;3;;;2;;1;4;4;;3;1;;1;1;;;1;;2;;;2;1;1;;1;;2;;2;;;1;
BAIC EU5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;2;;;11;;2;4;3;2;1;2;3;1;13;5;4;
BONANO SEMIRREMOLQUE VOLCADOR TRASERO DE 1D+2D EJES;;;;;1;1;;2;1;1;1;2;;;2;;4;4;;1;;;;1;;1;2;;2;;4;2;10;1;;;;2;;;;1;1;4;2;2;;;
HAVAL H2;15;3;10;6;6;4;1;;;;;3;;2;1;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JAC JS2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;14;11;13;3;2
PINCEN SFPLA 2+1E;;;;;;;;3;;2;;;;;;;2;1;1;;;3;;;4;;4;;;;;;;;;5;5;2;;8;2;1;1;2;7;1;1;;
RANDON SR.SL. 1+1+1;2;2;4;5;3;2;1;1;6;2;;;2;1;2;2;1;;;13;2;1;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;
BAIC BJ60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;3;7;4;5;5;1;7;7;5;6;1
DANES SN 3EC DD;1;;;2;;1;1;4;;1;1;2;;;;;;;6;7;;2;1;1;;;;2;;;1;;;1;;1;4;;;2;5;4;;;1;;1;2;
NISSAN LEAF;;;5;4;2;4;2;2;7;3;2;6;3;;1;1;;2;1;;;2;;;;;;1;;;1;1;;;;1;;;;;;;;;;3;;;
LAMBERT A3PL;;3;5;1;2;1;2;5;1;1;1;3;1;1;1;1;3;1;1;;;;2;;1;;;;1;;2;;2;;1;1;;1;1;;2;;;2;1;;1;1;
MERCEDES BENZ AMG CLE 53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;3;3;1;4;7;4;2;7;6;3;3;1
PINCEN SCS 3E;1;;1;;15;;9;1;;4;;;;;;;;1;;;;;;;;;;;;;1;;;;4;;8;8;;;;;;;;;;;
SOLA Y BRUSA PORTACONTENEDOR 3 EJES- 1 DESPLAZ. SUSP. NEUM. DIR;2;;;3;;7;1;3;1;;;3;;;1;;;1;;2;;;2;2;1;;;1;;;;1;;;;;2;;;3;1;2;2;5;3;2;;2;
VOLKSWAGEN VOLKSBUS 15.190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;10;;4;4;7;4;5;14;;3
BACO SEMI 1+2 EJES VOLCADOR TRASERO BATEA;4;3;1;;2;10;;2;8;2;1;3;1;;;;2;;;;;1;1;;;;;;;1;1;;1;;2;;;;1;4;;;;;;;;1;
BONANO SEMIRREMOLQUE TERMICO 3D;;;;;;;;;;;;;;;;;;;;1;2;1;;1;1;2;2;3;5;1;;1;2;1;2;1;1;1;1;2;7;12;;;;;1;1;
INDUMIX MTI S 8 M3;;1;1;1;5;1;7;2;2;2;3;3;;;;;;1;1;;;;;1;1;1;;2;4;;;1;1;1;1;1;;;1;;;2;1;1;;;2;1;
MERCEDES BENZ OF 1724;1;6;2;1;;1;;;;;;;;;;1;1;;1;1;;;;;1;2;;1;1;1;2;2;1;2;2;1;1;2;4;;1;;2;2;2;1;2;4;
METAGRO S-2E- TANQUE;;2;4;;;3;1;;;;1;;1;3;;1;1;4;6;1;;3;3;2;2;3;1;2;1;1;4;;;;;;;;;;;1;;;;;1;;
PATRONELLI CARRETON 4 EJES - SEMC4E;2;;3;;1;;2;;1;1;;;1;2;2;;2;2;;;;1;2;1;2;1;;;2;2;3;;2;1;4;2;1;;2;1;1;;1;1;1;;;2;
PINCEN SFPLA 2E;3;1;;;2;1;;5;;2;2;1;;;;1;2;1;;5;;2;3;;;;;1;;1;1;3;1;;1;1;;2;;1;1;2;1;2;1;1;1;;
SALTO SRFA3E;6;1;;1;1;3;1;;3;;3;;;;1;4;3;1;1;1;;2;2;;2;;1;1;;;;2;1;1;1;;;1;2;;1;;;;;;5;;
SIN MARCA CASA RODANTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;4;3;2;2;3;1;5;2;6;7;8;3
DS DS9;7;2;;1;;;;;4;2;1;;1;1;2;4;6;1;1;3;2;3;1;;3;;1;1;;3;1;;;;;;;;;;;;;;;;;;
F.H. A.V.2.P.411.4.E.;;2;1;2;1;2;;1;3;;2;;;;;;2;2;2;;1;1;;;;;1;1;3;2;2;2;;1;1;;1;1;;2;;1;4;4;;2;;1;
FERBUS KAISEN KAISEN 450 1E;8;4;2;2;3;2;7;5;3;7;1;4;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HERMANN ACOPLADO PARA TRANSP.GANADO EN PIE A.GP.4E.27;;1;1;;;1;;2;1;;;1;;1;;1;;2;1;;2;;2;1;;;;1;2;1;4;2;;1;2;;;6;3;1;1;2;1;1;4;2;;;
JEEP GLADIATOR;6;5;5;;1;4;1;1;1;;2;;2;2;;1;1;3;;;2;;2;2;1;;;;;1;1;;;;;1;;;;1;;;1;1;;1;1;1;
SOLA Y BRUSA BARANDAS VOLCABLES 3 EJES TANDEM;;1;;1;2;1;1;;3;4;;;;;4;1;1;;;1;2;1;;;2;1;;1;;1;;1;;;;;;3;;3;2;1;3;4;1;5;;;
AA ASTARSA TRAILER PARA 5TN;;;;;;;;;;;;;;;1;;;6;1;;3;;9;9;;1;;;1;;;;2;1;;;;;;;;;;14;1;;1;;
FERBUS KAISEN 380;1;5;1;2;1;1;2;4;3;2;3;2;2;1;2;1;2;;2;1;;1;3;2;1;;;;;1;;;;;;1;;1;;;;;1;1;;;;;
FERBUS KAISEN KAISEN 400 1E;3;5;6;4;1;5;4;6;3;4;5;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FERBUS KAISEN KAISEN 570 2E;2;4;3;6;2;2;6;6;2;4;6;2;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JMC GRAND AVENUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;4;7;15;3;14;1
LAMBERT A4PL;2;;;1;;1;;;3;;;;3;;;2;2;;1;3;1;;1;1;4;;1;;2;2;1;;;3;2;;;;1;4;4;;3;1;;1;;;
MERCEDES BENZ EQA 350;;;;;;;;;;;;;;;;;1;1;1;6;1;;4;;1;1;3;1;3;7;;1;1;;2;1;1;1;2;1;2;2;2;;1;;3;;
PATRONELLI SEMCG21;;;;;;;;;;;;;;;;;;;;;;;1;;;;10;;1;;;;4;4;1;;18;3;;5;1;;1;;;;;1;
SOLA Y BRUSA FORESTAL 3 EJES;;1;1;;;;2;1;1;;1;1;1;;1;1;2;1;3;1;2;;1;1;;1;1;;2;;2;5;1;;;;3;3;;1;2;;3;1;;2;;1;
FAW ACTIS;;;;;;;3;3;2;;;1;1;1;1;;2;4;1;2;1;;1;5;1;;4;4;3;;2;3;1;;;;;;;1;;;;1;1;;;;
METALURGICA BELGRANO ACOPLADO 2+2 EJES - ABS;1;1;;1;;1;;1;;3;1;3;3;;;;;2;1;;;3;2;;2;2;;2;1;1;2;;1;1;;;;;;1;2;1;2;4;2;1;;1;
NAVARRO HNOS SEMIRREMOLQUE DE 2 EJES;3;;1;7;3;6;;;2;;3;;;;;;;1;1;;;1;;5;3;1;1;;;;2;;;;;1;;;;;;1;1;;;4;;1;1
PEUGEOT NUEVO 408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;15;14;13;2
SAYI SEMIRREMOLQUE TANQUE SE.TQ.02;2;1;;;2;2;6;;;1;;;;;;;;;1;5;;2;2;;;2;2;;2;;;;1;3;6;1;2;1;;2;1;2;;;;;;;
SUBARU ALL NEW FORESTER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;19;12;
ASTIVIA S3-TANQUE CORR.COMB.INF;1;3;6;2;;;1;1;1;1;1;;;;;;2;;1;3;;2;4;;;1;1;;4;;3;1;;1;;;;1;1;1;2;;1;1;1;;;;
HERMANN PALETERO S.PA.3E.71;;;1;2;;;;;;1;3;;;;;;;2;;1;2;;2;2;;;;1;;;5;4;;1;;4;;1;;;4;2;;5;2;;3;;
HIZA TRAILERS MINI RODANTE;;;;;;;;;;;;;5;4;2;;2;1;;1;;1;2;2;3;1;1;;;;;1;1;;4;1;4;;1;1;4;1;;1;;1;3;;
INDECAR SEMIRREMOLQUE TANQUE 3 EJES TANDEM;2;;3;1;2;;;;3;;3;;;3;;1;1;5;;3;1;;1;1;;;;1;;;2;;1;2;;1;3;;1;;;;1;1;2;2;;1;
VOLVO/MARCOPOLO B450;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;1;;11
BERTOTTO, BOGLIONE Y CIA. S.R. SEMIRREMOLQUE 3 EJES (1+2) VOLCABLE;8;1;2;9;1;1;1;6;1;3;1;;;1;1;;2;1;1;;;;1;;;;;1;1;;;1;;;;;;1;;;1;;;;;1;;;
BONANO SEMIRREMOLQUE TERMICO DE 3 TANDEM.;3;2;2;4;4;1;;5;14;1;2;;;;;;3;;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HERMANN TODO PUERTAS A.TP.3E.24;;;1;;1;2;;3;3;2;1;1;;;;1;2;;1;3;1;;1;;;;;2;2;;;1;1;4;3;1;1;2;1;;;;2;1;2;;;1;
MONTENEGRO ACOPLADO BARANDA VOLCABLE 4 EJES;2;2;2;3;1;2;4;4;1;2;2;3;2;2;1;1;1;;;;;;;;;2;;1;;;1;1;;;;;;2;1;;1;;;1;;1;1;;
NAVARRO HNOS ACOPLADO DE 3 EJES;1;;1;7;1;14;;;2;1;2;;;;;;;1;2;;;1;1;2;3;;;;;1;1;;;;;;;;;;;;1;;3;1;1;;
SCANIA/MODASA ZEUS 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;25;11;9;
BONANO SEMIRREMOLQUE PAQUETERO DE 1D+2D EJES;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;1;;;3;1;2;1;7;;1;1;3;;1;1;2;2;11;;4;;2;
FUR-TAN SEMI TOLVA 3 EJES 2 CIST.A.CARB.CON.PINT.33000L;;2;2;;1;;;2;1;1;2;;3;1;4;1;4;;3;;6;2;1;5;;1;;3;;;;1;;;;;;;;;;;;;;;;;
MALDONADO 2/3 HARLEY/BMW - TRAILER (CAT.O1);;;;;;;;;;;;;1;3;1;1;2;1;;1;;2;;1;;2;3;2;;;4;2;2;1;1;;;2;1;1;3;;2;1;2;;3;1;
MERCEDES BENZ AROCS 4848 K;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;1;3;1;1;1;4;2;1;1;4;1;6;3;1;2;2;2;;2;3;2;
PORSCHE CAYENNE;;;1;;;;;;;;;;3;1;;1;1;;;2;1;;;;;;2;1;2;;2;1;1;2;;;2;1;1;1;2;4;2;4;;4;4;;
REMOLQUES RECONQUISTA AC0302- ACOP 4 E BARANDA VOLCABLE;3;;;2;;;;;2;;;2;;;3;;1;4;1;1;;;2;1;;;3;;4;1;1;2;4;1;1;;2;;3;;1;1;;;;;;;
VOLVO VMX 280;;;;;;;;;;;;;;;;;;;;;1;;3;;;1;1;1;2;;;;;;2;;3;1;2;;2;3;1;5;2;6;4;6;
AIELLO SR-310 TOLVA;;2;2;3;1;3;4;4;3;;2;;;;1;;1;;;;;2;;1;;;;;1;1;;2;;1;1;4;1;3;1;;;;1;;;;;;
EL GRILLO ATF10 - REMOLQUE CUATRO EJES CON ABS;;;;;;;;;;;;;;1;;1;1;2;;1;;;2;;;;;;1;;8;4;2;1;2;2;2;;;2;4;;3;3;2;;;1;
SCANIA G440;;1;;1;;;4;4;3;3;1;;3;1;3;;;1;1;;2;2;2;;;;;;;;;;;1;3;;;1;;1;1;;2;;2;2;;;
IDEROL SEMI CARGA CONV. 3E 3D S3-CS;;;;;;;;;;;;;;;;;;;1;1;1;1;1;;1;1;1;;2;;2;3;2;7;1;;1;1;;4;;;5;2;1;1;2;2;
METAGRO S M - 2E TANQUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;9;;3;3;3;3;5;1;6;3;;2;2;2;;
MINI JOHN COOPER WORKS;;;;;;;;;;1;;;;;3;1;;1;;;;1;2;2;;1;;2;2;2;3;3;;2;1;;;;;1;3;1;;;2;2;5;3;
SALTO SRBVT3E;;;;2;1;3;1;;;;1;4;;1;;;1;;;5;2;;14;;;;;1;2;;;;2;;;;2;;;2;;;;;;;;;
SORAZABAL SEMIRREMOLQUE JAULA DE DOS EJES SIMPLE;;;;1;1;;;;;;1;;;;;;1;1;1;2;;2;;1;1;;2;;;1;1;3;1;1;1;1;2;2;;1;7;2;3;1;2;;1;;
AIELLO WHIM SRB 330;;1;;1;;;;;;;6;;;;;;2;4;5;;;;;;;;;;;;;;12;1;;;;2;;;9;;;;;;;;
BONANO SEMIRREMOLQUE BARANDA VOLCABLE DE 1D+2D EJES;;;;1;2;;2;;4;1;1;;6;;2;2;;;2;;;1;;;;;1;;;;1;2;2;;1;;2;2;1;;2;2;;2;1;;;;
DFSK GLORY 500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;4;3;3;9;6;4;7;2;1;1
DM TRAILERS ACONCAGUA 320;;;;;;;;;3;3;;2;;2;;;1;;2;1;;2;5;4;1;2;3;;1;;1;;2;1;;;2;1;;;1;;;1;1;;1;;
DONGFENG CAPTAIN W 412 SC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;11;18;8;
OMBU STC3E52;;1;;1;1;;;1;;1;1;2;;3;;;2;;;;1;;1;;;1;1;;1;;1;1;4;1;3;2;;;;;1;3;;2;1;3;3;;
PORSCHE MACAN;1;1;1;1;1;;1;;;;1;;2;;;;;;1;;1;;;;;;;2;;;;3;;2;2;1;3;1;1;;1;1;2;7;1;3;1;1;
SALTO SRVM3E;;1;1;1;7;;;;1;;1;;;;1;;10;;1;;;5;;;;;;;;;;;;1;6;;;;;;4;;2;;;;1;;
DANES ST 4EM DD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;10;13;2;5;11;;
DI POLVERE AT3R;;1;2;1;;;;1;2;1;1;;;;1;2;;2;;1;;;;;1;1;1;;;;2;3;1;1;3;1;1;1;1;3;2;1;1;2;;;1;;
DM TRAILERS ACONCAGUA 520;;;;;;;;;;;;;;;;;;;;;1;;3;3;5;4;;;;;3;1;1;;;1;1;1;1;1;2;1;2;2;1;2;4;2;
H.C.MANCINI TVM 01 E;;;;;1;;;1;;;1;1;3;1;;;;4;4;;1;1;;;;;;;3;;;;1;7;2;;1;;1;1;;;1;;5;;;2;
INDECAR SEMIRREMOLQUE TANQUE 3 EJES (1+2);;1;2;2;;;;1;;;;2;;1;;1;;;1;;;1;;;1;2;1;1;2;1;;1;1;1;4;2;2;;2;2;;1;;1;5;;;;
LAND ROVER DEFENDER;;;;;;;;;;;;;;;;;;;;;;;6;3;2;;1;2;2;;1;2;1;1;;;3;1;1;1;1;2;;1;6;3;2;;
MACTRAIL 2/3 HARLEY/BMW;3;4;;4;2;1;;4;2;6;2;2;4;3;;;;;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MALDONADO 1+1+1 SNT ABS/EBS;;;3;4;2;2;3;1;;3;1;;;1;;3;3;;;1;;;2;;;;;;;;2;;1;;;1;1;;;5;;;;;3;;;;
SOLA Y BRUSA A 4 EJES;5;2;8;4;3;6;4;2;4;;1;1;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
SOLA Y BRUSA BARANDAS VOLCABLES 3 EJES 1+1+1;2;;2;1;2;;;1;1;2;;;3;;1;1;;;1;;;;2;1;;;;1;1;;;1;2;;3;;2;;2;;1;;2;2;2;2;1;;
BMW M440;10;7;6;1;1;3;;2;1;;2;3;;1;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;1;;;;;;
HERMANN TODO PUERTAS A.TP.4E.14;1;3;1;;;;;4;1;1;;2;1;1;2;1;;3;1;1;1;;2;;;;1;1;;;;3;1;;1;;1;;1;;;;;;;4;;2;
MARCELINI ALR8NPP;2;2;4;1;5;2;5;1;;2;5;2;1;;;;;2;2;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
OMBU SBV3E2+11540;;;;1;1;1;10;1;;;;;;;1;2;2;1;;;1;1;;;1;;5;;;;;1;2;;;1;1;1;1;3;;2;;;1;;;;
OTROS ACOPLADO/SEMIRREMOLQUE;;;;;;;;;;;;;3;13;4;;5;2;2;4;2;;2;1;;;;1;1;;;;;;;;;;;;;1;;;;;;;
SALTO SRCH2E;1;;;1;;;;;;;;;;;1;;1;3;2;5;;;;;;;;;;;2;;1;4;3;;;;6;2;;;;3;4;;;2;
VOLVO FM 420;4;5;2;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;15;;3
AUDI A6;3;;1;;1;2;;;;;;;1;1;2;2;3;1;2;1;;1;1;1;;;1;;2;;;1;;2;1;;2;1;1;1;1;1;;2;1;;;;
DANES ST 2EC DD;;1;3;2;1;;1;;1;2;;;;;;;;;1;;;;1;;1;;1;1;;;3;;3;1;1;2;1;1;;;6;1;;1;;;3;1;
FERBUS KAISEN 600 2E;;;;;;;;;;;;;;1;;1;;6;1;;1;;7;;3;;1;;1;1;1;3;;;1;1;;1;;1;2;1;1;2;1;1;;1;
HIZA TRAILERS MEDIA BARANDA;;;;;;;;;;;;2;4;1;2;1;1;1;;;;2;2;3;1;1;;;;;;2;1;4;1;1;1;1;1;;1;2;1;;;2;1;;
SIN MARCA FURGON HABITACIONAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;2;4;6;2;;2;2;2;4;;2;5;6;
VOLKSWAGEN CONSTELLATION 33.460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;5;1;2;2;1;6;3;3;2;3;1;;;;
CORMETAL SPXB21;;;;;2;1;;2;;1;;1;1;1;1;2;1;2;1;;;;;;;;1;1;;1;;2;;1;;;2;1;3;;2;1;;7;;;1;;
DANES ST 3ET DD;;;1;1;;1;;;;;;;;;;;;5;6;1;;1;;;6;;1;1;1;;1;;;3;;;2;1;;;1;;;3;1;;2;;
GOTITAS RODANTES MINI RODANTE GR;;;;;;;1;3;2;4;3;2;1;1;1;2;1;1;2;2;2;3;1;5;;;;;;;;;;;;;;;;;;;;;1;;1;;
HELVETICA SR 3E 1+2 SD;2;1;1;2;;3;;1;;;1;;;;;2;2;1;1;1;1;1;;1;1;2;1;;;;2;2;1;1;1;1;;;1;1;;;1;2;;;1;;
HERMANN BARANDA VOLCABLE S.BV.3E.67 1+1+1;2;2;4;2;;;;3;2;;;3;3;1;;1;1;3;;2;;;;;;3;;;1;;;;;4;;;;;;;;;;;1;1;;;
JAC T8;;;;;;;;;;;;;;;;;;;1;;1;;2;;7;;2;1;4;1;3;1;1;2;;;1;1;2;;;;1;;;;;8;
JAC X200;;;1;;;1;;;;;;;;;;;;;;;;;;;1;1;2;1;2;;2;;;6;5;3;3;;;;1;;1;1;1;;4;3;
MONTENEGRO SEMIRREMOLQUE JAULA GANADERA 2 EJES;1;;;;1;2;;;;;;3;;;;;;1;1;1;1;1;;;;1;2;4;;;2;;1;1;3;1;1;1;1;2;1;1;2;3;;;;;
SATURNI TODO PUERTAS 3EA;2;1;2;;1;1;1;;;;1;;;2;2;2;;5;;;;;;;;1;;2;;;1;1;;1;1;;2;;;;2;;1;1;2;1;3;;
JAC S3;5;2;5;6;2;1;;1;1;2;1;;;2;;;;;2;;;1;;;;;;;;;;2;;;2;;1;;1;;;;;;;;;1;
MERCEDES BENZ E450;;;;3;2;;;1;1;;;;;1;1;;;;1;;2;2;;;2;;;;;;;;;;;;4;1;1;1;3;4;2;1;2;1;2;;
MONTENEGRO ACOPLADO CARRETON 3 EJES;1;2;;1;2;2;;1;3;2;2;1;;;2;;1;1;;1;;1;1;1;;;1;2;;;;3;1;2;;;;2;;;1;;1;;;;;;
RANDON SR.SD.02+01;;;2;;;;2;3;2;4;1;;;1;;;;;;2;1;;2;1;1;;;;;1;;;;1;;1;;1;;1;;2;1;2;1;2;1;1;1
RUBIOLO S2O3;;;;1;1;1;;1;;;1;1;;;1;;2;3;4;2;1;;;1;;;;1;3;;1;;1;2;1;1;;;;2;;;1;;1;2;2;;
VOLVO B380;1;;;1;;;2;;;;4;1;2;1;1;;;;;2;3;5;;2;;;;;;;;;1;1;1;;;2;;;;1;2;1;1;;;3;
BONANO BARANDA VOLCABLE DE 4 EJES;;;;;;;;;;;;;13;10;11;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BONANO SEMIRREMOLQUE TERMICO DE 2 EJES TANDEM.;;;;;1;2;2;2;;4;;1;;;;;3;3;;;1;15;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;
BONANO SEMIRREMOLQUE VOLCADOR TRASERO 2 EJES + 1 EJE DIR;2;1;4;3;;1;1;1;3;3;1;4;2;3;2;1;;;;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;1;;
COMAR CARRETON SH-12;;1;4;2;;;1;2;;;1;;1;;;;2;1;1;;;3;2;;;;;1;1;2;;3;;;1;;;1;3;1;;;1;1;;;;1;
PINCEN SFTLA 3E;;;;4;9;1;;2;1;2;2;;2;2;5;1;2;;;;;;;;;;;;;;1;1;;1;;;;1;;;;;;;;;;;
SALTO CARRETON3E;;3;6;;;1;2;;5;2;;;1;;;;;1;1;2;;3;1;1;;;;1;;2;;;;2;;1;;;;;;;;2;;;;;
