Modelo;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
PEUGEOT 2008;487;229;232;136;173;166;316;326;135;36;104;27;16;50;110;31;116;77;82;17;1;3;3;2;;;;;;;58;521;1209;1070;630;213;2286;1191;886;1055;1051;1600;1822;1460;1470;1262;832;432;174
JEEP COMPASS;281;210;297;318;349;274;411;399;235;135;159;70;239;158;203;265;376;355;223;99;77;361;319;91;453;332;355;236;222;411;440;379;551;844;515;212;1047;595;993;1024;1102;1058;1139;795;1209;893;583;249;108
TOYOTA SW4;472;321;457;342;337;400;391;211;109;63;268;356;741;409;569;533;588;573;684;527;412;430;357;265;272;268;372;471;539;491;728;722;654;557;382;209;820;592;595;632;499;430;508;439;525;490;326;215;93
MERCEDES BENZ SPRINTER;453;321;389;360;431;428;388;467;505;428;416;189;585;339;343;296;572;600;601;653;491;583;611;304;495;188;184;263;282;315;491;646;485;470;382;232;532;403;282;339;320;320;422;491;581;612;478;356;50
VOLKSWAGEN T-CROSS;12;10;159;412;388;403;213;204;123;81;43;86;112;88;83;30;203;295;247;87;81;343;394;59;47;141;420;404;461;550;687;595;319;712;657;374;1269;984;1191;1253;1070;752;780;804;640;486;362;241;68
FIAT TORO;484;356;419;421;479;330;515;344;235;110;70;47;195;200;273;94;229;248;184;78;171;433;125;70;331;279;326;502;425;355;267;440;593;635;409;157;954;694;787;774;721;703;882;686;610;394;374;176;95
FIAT STRADA;477;237;253;290;264;722;506;286;389;216;188;44;136;86;242;132;399;284;262;167;158;248;40;11;38;79;460;684;447;276;208;528;606;642;440;146;813;616;661;807;766;623;751;673;728;767;402;214;67
NISSAN KICKS;665;417;380;342;319;304;317;403;376;424;302;256;531;180;334;397;340;450;605;450;265;532;480;136;254;244;333;473;278;454;175;304;286;292;291;240;481;244;255;297;510;712;632;839;632;531;200;186;36
RENAULT KANGOO;;3;;1;4;2;1;;;;;;;;2;4;;;;;;;;;;102;292;339;473;569;969;723;599;862;736;485;906;842;988;1041;1289;1033;1251;1129;859;820;536;429;71
PEUGEOT PARTNER;716;309;452;347;373;540;496;421;247;416;365;177;340;294;391;364;492;498;517;418;240;189;171;136;275;231;241;290;281;267;235;193;297;171;204;92;500;237;142;201;248;305;442;447;489;383;355;166;19
CITROEN C4 CACTUS;900;790;824;660;445;867;822;876;587;509;344;134;432;144;117;125;149;242;366;100;305;464;355;101;451;362;344;415;377;292;371;316;370;400;216;79;364;150;157;105;42;9;10;4;3;3;3;1;
FIAT PULSE;;1;7;249;566;920;578;429;311;360;196;64;271;113;135;174;218;165;118;43;118;178;97;22;62;188;231;270;257;175;195;417;466;529;335;116;961;545;506;511;506;533;493;324;566;612;359;157;77
RENAULT KARDIAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;577;808;692;675;392;1444;807;1187;1205;940;1085;1014;495;1380;938;494;356;49
CITROEN C3;56;9;2;4;1;3;1;1;121;59;150;33;229;309;356;366;710;343;614;93;202;660;277;102;511;200;237;569;412;305;446;292;268;376;348;122;491;451;345;399;411;431;663;511;504;601;405;246;63
CITROEN BERLINGO;763;301;342;256;292;357;362;441;168;239;327;253;853;323;339;251;556;554;487;289;148;324;241;183;327;240;220;217;179;182;254;195;231;182;84;32;429;213;220;173;277;263;315;286;287;333;300;127;31
FORD MAVERICK;;107;90;127;611;331;419;352;40;2;10;60;593;272;213;189;307;265;274;76;191;659;300;129;248;67;165;228;291;505;491;504;337;360;361;94;46;3;60;334;770;245;746;484;411;519;466;229;40
RENAULT KWID;19;16;13;4;1;1;;1;2;;;;;;;;;;;;;;;;;;43;34;13;12;4;5;10;8;6;404;854;536;587;845;1256;1517;1993;1393;1063;1113;661;467;68
CHEVROLET S10;319;210;215;232;293;242;225;175;142;236;206;151;322;142;125;94;218;282;254;142;77;197;117;53;106;102;67;68;78;66;180;367;385;243;162;124;286;288;199;514;514;580;618;537;539;510;341;289;52
RENAULT ALASKAN;402;308;424;338;343;450;417;394;446;357;291;222;292;173;323;255;235;285;327;406;332;485;356;240;313;89;56;177;136;108;199;258;268;219;146;68;98;110;144;179;160;98;164;144;141;209;83;50;60
FIAT MOBI;549;156;54;168;390;325;269;176;157;90;43;16;69;85;198;49;148;54;17;3;4;1;;;2;;27;1;;2;1;247;406;493;421;169;1063;373;605;833;1084;981;760;222;164;141;111;159;66
CITROEN C3 AIRCROSS;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;77;246;366;487;405;478;595;518;237;1352;747;834;775;711;600;622;393;426;441;295;182;79
FIAT FIORINO;;;13;160;171;115;125;189;201;96;76;23;43;38;127;90;75;85;58;40;52;70;22;7;18;17;96;354;325;168;154;358;453;457;320;137;584;616;490;316;75;17;674;532;837;464;354;196;66
RENAULT DUSTER;81;69;18;1;66;88;40;88;51;37;36;111;264;152;131;54;46;72;200;62;125;223;146;155;357;166;111;222;248;149;189;94;363;383;321;194;598;303;503;459;557;489;418;167;385;252;176;123;13
RAM RAMPAGE;;;;;;;;;;;;;;;;;;;;;;;;;100;182;214;318;317;250;376;353;442;384;357;136;755;409;392;385;414;409;424;411;384;393;225;114;56
FIAT FASTBACK;;;;;;;;;;;;;;;;;;;;;;;;2;;;;6;90;167;227;353;462;408;315;119;691;373;442;542;651;794;822;456;362;327;223;115;42
FORD TRANSIT;101;101;129;145;137;165;149;118;234;286;314;184;267;186;191;135;174;233;204;223;136;170;194;117;116;77;48;53;101;119;200;201;164;101;56;47;190;135;66;158;140;123;151;135;112;84;28;38;4
CITROEN BASALT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;351;481;628;761;559;636;807;345;794;601;373;208;45
CHEVROLET MONTANA;;;;;;;;;;;;;;;;;;;45;65;32;76;63;22;30;13;21;16;20;25;129;182;155;123;176;149;314;263;312;361;465;506;555;400;471;409;512;483;47
IVECO 170 E;119;130;141;155;221;210;229;216;211;179;162;107;171;125;145;122;199;125;129;167;139;156;138;69;56;44;63;82;98;93;179;162;157;177;134;118;131;97;94;133;145;92;116;90;95;83;43;46;2
FIAT ARGO;500;150;172;91;80;103;122;87;80;74;46;12;26;36;133;81;117;54;22;7;2;1;;2;1;1;;;2;1;;1;;;;;;;;;502;713;749;692;549;506;277;223;70
FORD BRONCO SPORT;313;140;53;40;104;117;84;163;104;96;160;42;180;143;154;113;46;37;47;21;17;233;69;118;203;34;49;77;68;129;165;159;109;102;62;26;51;48;13;530;219;202;188;124;351;404;217;103;33
FORD ECOSPORT;439;527;614;489;397;329;280;262;357;403;362;209;515;298;335;238;97;37;18;4;6;10;8;5;2;5;1;;;;;;;;3;;;;;;;;1;;;;;;
VOLKSWAGEN SAVEIRO;179;53;18;41;46;16;38;92;49;92;65;10;10;6;3;;61;192;123;44;16;31;49;28;101;339;201;179;145;113;162;157;131;143;137;74;395;326;368;309;298;245;183;195;214;172;172;107;31
RENAULT OROCH;;;;;;;;15;84;74;43;60;76;102;141;191;247;236;308;208;121;122;102;63;202;90;44;94;97;76;73;193;153;168;152;92;256;253;168;219;206;203;292;170;213;130;100;61;9
NISSAN VERSA;420;195;191;141;96;74;89;115;204;190;132;36;52;17;28;166;53;10;147;30;81;181;154;77;114;194;134;170;87;38;60;35;106;42;51;91;136;33;38;32;123;118;328;286;265;189;59;72;6
HONDA HR-V;119;100;44;81;77;67;97;93;73;79;77;50;101;104;96;72;58;51;62;36;34;27;27;37;43;26;61;109;98;102;166;190;156;181;132;83;296;179;227;250;243;146;225;181;177;210;134;90;21
TOYOTA HIACE;84;50;110;54;106;104;72;61;36;70;76;21;151;95;92;108;84;65;121;97;49;64;81;59;45;62;88;92;131;116;170;190;173;173;160;110;214;136;105;159;118;174;222;226;221;173;72;62;5
VOLKSWAGEN TERA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;175;1042;1355;1347;850;170
CHEVROLET SPIN;71;30;37;73;93;33;39;14;26;61;30;4;35;37;88;56;95;74;85;89;36;60;63;16;36;29;28;42;42;19;40;31;28;11;18;68;149;176;132;216;230;248;402;434;314;365;195;116;28
VOLKSWAGEN NUEVO VIRTUS;;;;;;;;;;;;;;;;;;;;;;65;155;164;149;164;138;237;177;158;173;138;181;272;310;223;396;338;248;308;252;157;94;49;31;26;8;8;1
IVECO DAILY;108;89;125;125;128;145;143;145;142;95;102;72;140;65;82;90;60;66;68;141;89;104;112;45;83;61;40;52;67;39;67;69;45;68;79;60;69;60;76;79;95;57;67;58;53;67;45;39;6
HYUNDAI HB 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;197;271;259;232;224;259;343;336;381;327;217;265;28
JEEP COMMANDER;14;43;77;60;111;103;83;105;70;37;51;52;104;37;42;30;42;36;24;31;26;22;20;17;74;21;20;18;18;9;29;46;42;50;35;26;82;64;123;139;99;131;169;193;183;146;81;60;10
HYUNDAI CRETA;78;70;67;78;82;76;25;43;33;35;17;11;33;12;38;56;30;43;49;64;44;30;28;17;46;39;68;46;89;28;27;51;51;90;74;53;156;90;97;106;118;167;133;95;89;86;36;54;7
NISSAN SENTRA;153;61;103;76;80;85;143;139;96;100;69;20;89;100;130;51;24;29;54;40;15;40;50;16;54;25;57;47;61;63;69;30;28;39;36;18;30;13;15;8;41;77;103;100;110;74;40;18;2
VOLKSWAGEN VIRTUS;28;23;47;110;241;282;143;100;66;75;56;49;51;12;122;55;21;26;28;4;5;;;;;;;;;;;;;;;;;;;;;38;79;184;132;173;86;194;25
